date,flag,dec,dir,score,premarket,base_taken,released,rel_at,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260909,10:33,10:39,B,-1,UP_RED,False,False,,5615.0,0.7123775601068566,1.068566340160285,1.5138023152270703,1.157613535173642,-0.44523597506678536,-2.404274265360641,1.8699910952804988,-2.6357969723953696
20260910,10:33,10:39,R,-2,DOWN_BLUE,False,False,,11595.0,0.5605864596808969,0.9486847779215178,0.4312203536006899,0.689952565761104,1.1211729193617939,2.889176369124623,2.889176369124623,-0.301854247520483
20260911,09:12,09:18,R,-1,DOWN_BLUE,True,False,,10920.0,0.9615384615384616,1.8772893772893773,1.465201465201465,1.1446886446886446,0.10989010989010989,-0.13736263736263737,2.152014652014652,-0.7326007326007326
20260914,09:24,09:30,R,-1,DOWN_BLUE,True,False,,10265.0,-0.8280565026790063,-1.2664393570384802,-1.169020944958597,-0.7793472966390648,-1.6561130053580126,-0.9254749147588894,0.24354603019970775,-3.507062834875792
20260915,09:03,09:09,B,-2,UP_RED,False,False,,6635.0,-0.45214770158251694,0.30143180105501133,-1.7332328560663148,-1.8085908063300677,-3.2403918613413714,-0.8289374529012812,0.30143180105501133,-3.2403918613413714
20260916,09:57,10:03,B,-2,UP_RED,False,False,,6460.0,0.30959752321981426,0.38699690402476783,0.0,0.6191950464396285,0.8513931888544891,0.30959752321981426,1.1609907120743035,-0.23219814241486067
20260918,09:00,09:06,B,-1,UP_RED,True,False,,5710.0,0.08756567425569177,-0.5253940455341506,-0.6129597197898424,-0.2626970227670753,-0.2626970227670753,-0.6129597197898424,0.7005253940455342,-1.0507880910683012
20260918,09:21,09:27,B,-2,UP_RED,False,False,,5655.0,0.08841732979664013,0.2652519893899204,0.707338638373121,0.8841732979664014,0.3536693191865605,0.9725906277630416,1.5030946065428823,-0.08841732979664013
20260921,09:51,09:57,R,-2,DOWN_BLUE,True,False,,12000.0,0.4166666666666667,0.2916666666666667,0.7083333333333333,0.7083333333333333,0.6,-0.25,1.1666666666666667,-0.5
20260921,10:36,10:42,B,-3,UP_RED,False,False,,5335.0,0.28116213683223995,0.4686035613870665,0.6560449859418931,0.937207122774133,0.7497656982193065,1.218369259606373,1.4058106841611997,-0.37488284910965325
20260921,10:45,10:51,B,-1,UP_RED,False,False,,5370.0,0.186219739292365,0.27932960893854747,0.0931098696461825,0.0931098696461825,0.4655493482309125,0.27932960893854747,0.74487895716946,-0.186219739292365
20260922,09:27,09:33,B,-2,UP_RED,False,False,,5015.0,0.0,0.09970089730807577,0.4985044865403789,0.9970089730807578,1.0967098703888334,2.0937188434695915,2.0937188434695915,-0.19940179461615154
